dim,rows,mode,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
8,16384,hadamard_int4,bf16,1.0,True,2,0.003314400091767311,0.0032336000353097917,0.0015224000439047814,0.0032336000353097917,52.91934601432766
64,65,hadamard_int4,bf16,1.0,False,2,0.0011024000123143196,0.0011288000270724297,0.0011024000123143196,0.0011024000123143196,0.0
4,4097,hadamard,bf16,1.0,True,2,0.0015231999568641186,0.001309600006788969,0.0009576000273227691,0.001309600006788969,26.878434456431833
8,64,hadamard_int4,bf16,1.0,True,2,0.0011392000131309032,0.0011559000238776207,0.0010064000263810158,0.0011392000131309032,11.657302073312714
1,16384,hadamard_int4,bf16,1.0,True,2,0.0031943000853061677,0.0029648000374436377,0.0009983999654650689,0.0029648000374436377,66.32488016541154
16,65,hadamard_int4,bf16,1.0,False,2,0.00114954998716712,0.0011615999974310398,0.0011487999930977822,0.00114954998716712,0.06524240595975339
8,16384,hadamard,fp16,1.0,True,3,0.0032552000135183333,0.002393599972128868,0.0014615999534726143,0.002393599972128868,38.93716700820868
16,4095,hadamard,fp16,1.0,False,3,0.0015544000081717968,0.0013368000276386739,0.0015559249557554721,0.0015544000081717968,-0.09810522231461505
8,64,hadamard_int4,bf16,1.0,True,3,0.0011447999626398087,0.0011607499793171883,0.0009934999980032444,0.0011447999626398087,13.216279662315833
1,4095,hadamard,bf16,1.0,False,3,0.0015080000273883342,0.0012911999598145484,0.0015096000395715236,0.0015080000273883342,-0.1061016017327443
1,16384,hadamard_int4,fp16,1.0,True,3,0.003182400017976761,0.0029767999425530435,0.0009943749755620956,0.0029767999425530435,66.59584134803251
1,4096,hadamard,fp16,1.0,True,3,0.001508800033479929,0.0012872000224888325,0.0008688000030815602,0.0012872000224888325,32.50466222011757
1,16384,hadamard,fp16,1.0,True,3,0.002953599952161312,0.002104000002145767,0.0009279499761760234,0.002104000002145767,55.89591372482641
1,2,hadamard_int4,fp16,1.0,True,3,0.001077600009739399,0.0010735999792814254,0.0010119999758899211,0.0010735999792814254,5.737705344660493
4,255,hadamard_int4,fp16,1.0,False,3,0.0011735999956727027,0.0011447999626398087,0.0011735999956727027,0.0011735999956727027,0.0
4,16384,hadamard_int4,bf16,1.0,True,3,0.0032639998942613603,0.0031567998230457306,0.0013263000175356865,0.0031567998230457306,57.985932213590566
1,4095,hadamard,fp16,1.0,False,3,0.0015231999568641186,0.0012959999963641166,0.001524799969047308,0.0015231999568641186,-0.10504281962320228
2,16384,hadamard,fp16,1.0,True,3,0.0029656000435352324,0.002144699916243553,0.001032800041139126,0.002144699916243553,51.84407695841769
64,65,hadamard_int4,fp16,1.0,False,3,0.0011048000305891037,0.001130400039255619,0.0011048000305891037,0.0011048000305891037,0.0
2,4096,hadamard,bf16,1.0,True,3,0.0015320000238716602,0.0013079999946057797,0.0008991999551653862,0.0013079999946057797,31.253825774181475
1,16384,hadamard,bf16,1.0,True,3,0.002966400049626827,0.002106400020420551,0.0009206750430166722,0.002106400020420551,56.291538449906795
16,65,hadamard_int4,bf16,1.0,False,3,0.0011487999930977822,0.0011632000096142292,0.001149599999189377,0.0011487999930977822,-0.06963841368394785
8,4097,hadamard,bf16,1.0,True,3,0.0015536000020802021,0.0013447999954223633,0.0010424000211060047,0.0013447999954223633,22.486613276748514
8,4096,hadamard_int4,fp16,1.0,True,3,0.0018039999529719352,0.0016408000141382218,0.0011672000400722027,0.0016408000141382218,28.86396696642902
4,256,hadamard_int4,fp16,1.0,True,3,0.0011847999878227711,0.0011672000400722027,0.0009838749654591083,0.0011672000400722027,15.706397217203138
16,16384,hadamard,fp16,1.0,True,3,0.003007199987769127,0.00224239993840456,0.0016343999654054643,0.00224239993840456,27.11380617641652
4,4096,hadamard_int4,fp16,1.0,True,3,0.0018079999834299087,0.0016256000846624375,0.001110399980098009,0.0016256000846624375,31.69291816759543
4,4096,hadamard_int4,bf16,1.0,True,3,0.0018055999651551246,0.0016327999532222749,0.0011311749927699565,0.0016327999532222749,30.721764749097314
