partition,case_id,rows,n,dtype,scale,round,old_wmma_ms,four_warp_wmma_ms,warp128_ms,old_over_new,warp128_over_new,reduction_vs_old,reduction_vs_warp128
holdout,n32_m4096_fp16_normalized,4096,32,fp16,normalized,2,0.002764799892902374,0.002683039903640747,0.0019812799990177156,1.0304728935080998,0.7384459680712242,0.029571756520794246,-0.35419521974226353
holdout,n32_m4096_fp16_normalized,4096,32,fp16,normalized,3,0.002764799892902374,0.0026931199431419373,0.0019865599274635315,1.0266159514888933,0.7376425741907005,0.02592590875905676,-0.35567012397182096
holdout,n32_m4096_fp16_unit,4096,32,fp16,unit,1,0.002764799892902374,0.0027033600211143496,0.002022719979286194,1.0227272251228672,0.7482244183119976,0.02222217671005744,-0.33649741377862386
holdout,n32_m4096_fp16_unit,4096,32,fp16,unit,2,0.0027643200755119324,0.0027134400606155396,0.0020073600113391875,1.018751110678616,0.7397841730411473,0.01840597814526601,-0.3517455988401894
holdout,n32_m4096_fp16_unit,4096,32,fp16,unit,3,0.002764799892902374,0.0027048000693321228,0.0020156800001859664,1.0221827203609422,0.74522328768044,0.021701325916670955,-0.34187969771123305
holdout,n64_m1_bf16_normalized,1,64,bf16,normalized,1,0.002303999960422516,0.002558880001306534,0.0019046400487422943,0.9003939064145724,0.7443256611368284,-0.11062501964508575,-0.34349795017502593
holdout,n64_m1_bf16_normalized,1,64,bf16,normalized,2,0.002313759997487068,0.002558880001306534,0.0018329599499702454,0.9042080895961083,0.7163133671896915,-0.10594011655732927,-0.3960370499901389
holdout,n64_m1_bf16_normalized,1,64,bf16,normalized,3,0.002303999960422516,0.0025497600436210632,0.0018227200210094452,0.9036144268503287,0.7148594337610271,-0.10666670460943872,-0.39887641230218907
holdout,n64_m1_bf16_unit,1,64,bf16,unit,1,0.002303999960422516,0.0025600001215934755,0.0019865599274635315,0.8999999417923419,0.7759999348074228,-0.11111118297242206,-0.2886599020761085
holdout,n64_m1_bf16_unit,1,64,bf16,unit,2,0.0022937600314617158,0.0025600001215934755,0.001884160041809082,0.8959999697320177,0.7359999813735493,-0.11607146627369569,-0.35869568655934536
holdout,n64_m1_bf16_unit,1,64,bf16,unit,3,0.0022937600314617158,0.0025600001215934755,0.001884160041809082,0.8959999697320177,0.7359999813735493,-0.11607146627369569,-0.35869568655934536
holdout,n64_m1_fp16_normalized,1,64,fp16,normalized,1,0.0022534399479627607,0.0025798399746418,0.0019865599274635315,0.8734805143391273,0.7700322295142965,-0.14484522961178703,-0.29864694186989715
holdout,n64_m1_fp16_normalized,1,64,fp16,normalized,2,0.0022630399465560914,0.0025702399015426636,0.00187391996383667,0.8804781005842334,0.7290836791973928,-0.13574658964994013,-0.37158467338185885
