run_index,dtype,dim,rows,normalized,shape,scale,mode,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms
1,bf16,256,64,False,"[64, 256]",1.0,fused_int4,cuda_graph,contiguous256,5,1.745919942855835,1280,1.363999955356121,0.001363999955356121
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,original,1,1.381376028060913,1280,1.0792000219225883,0.0010792000219225883
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,original,2,1.3761600255966187,1280,1.0751250199973583,0.0010751250199973583
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,original,3,1.376255989074707,1280,1.0751999914646149,0.0010751999914646148
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,original,4,1.376255989074707,1280,1.0751999914646149,0.0010751999914646148
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,original,5,1.3824000358581543,1280,1.080000028014183,0.001080000028014183
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,contiguous256,1,1.3863999843597412,1280,1.0831249877810478,0.001083124987781048
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,contiguous256,2,1.3844480514526367,1280,1.0816000401973724,0.0010816000401973724
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,contiguous256,3,1.3844480514526367,1280,1.0816000401973724,0.0010816000401973724
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,contiguous256,4,1.3916159868240356,1280,1.0871999897062778,0.001087199989706278
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,contiguous256,5,1.3844480514526367,1280,1.0816000401973724,0.0010816000401973724
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,dao,1,1.321984052658081,1280,1.0328000411391258,0.001032800041139126
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,dao,2,1.3209600448608398,1280,1.0320000350475311,0.0010320000350475312
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,dao,3,1.3230079412460327,1280,1.033599954098463,0.001033599954098463
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,dao,4,1.321984052658081,1280,1.0328000411391258,0.001032800041139126
1,bf16,256,64,False,"[64, 256]",1.0,transform,cuda_graph,dao,5,1.321984052658081,1280,1.0328000411391258,0.001032800041139126
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,original,1,3.3423359394073486,1280,2.611199952661991,0.002611199952661991
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,original,2,3.3361918926239014,1280,2.606399916112423,0.002606399916112423
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,original,3,3.3422720432281494,1280,2.6111500337719917,0.0026111500337719917
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,original,4,3.340224027633667,1280,2.6095500215888023,0.0026095500215888023
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,original,5,3.3320960998535156,1280,2.603200078010559,0.002603200078010559
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,contiguous256,1,3.0597119331359863,1280,2.3903999477624893,0.0023903999477624892
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,contiguous256,2,3.057663917541504,1280,2.3887999355793,0.0023887999355793
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,contiguous256,3,3.0597119331359863,1280,2.3903999477624893,0.0023903999477624892
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,contiguous256,4,3.0566399097442627,1280,2.3879999294877052,0.002387999929487705
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,contiguous256,5,3.0617599487304688,1280,2.3919999599456787,0.0023919999599456786
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,dao,1,3.9813120365142822,1280,3.110400028526783,0.003110400028526783
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,dao,2,3.976191997528076,1280,3.1063999980688095,0.0031063999980688096
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,dao,3,3.9833600521087646,1280,3.1120000407099724,0.0031120000407099725
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,dao,4,3.976191997528076,1280,3.1063999980688095,0.0031063999980688096
1,bf16,256,4096,True,"[4096, 256]",0.0625,transform,cuda_graph,dao,5,3.9813120365142822,1280,3.110400028526783,0.003110400028526783
