dtype,M,N,method,round,category,block_dim,off_median_ms,on_median_ms,off_over_on_ratio,latency_reduction_pct,improvement_ge5pct,regression_ge5pct
fp16,1,16,vector_transform,2,vector_path,32,0.00754799991846,0.00728399977088,1.0362438434766872,3.497617255325343,False,False
fp16,1,16,scalar_split,2,control,32,0.0128879994154,0.0124959997833,1.0313700095148752,3.041586358481638,False,False
fp16,1,16,vector_split,2,vector_path,32,0.0132479995489,0.0128159999847,1.0337078312044108,3.2608663866981287,False,False
fp16,1,16,scalar_fused,2,control,32,0.00758399963379,0.00738399997354,1.0270855445512843,2.637126449201221,False,False
fp16,1,16,vector_fused,2,vector_path,32,0.00802000015974,0.00768399983644,1.0437272684086456,4.189530132264895,False,False
fp16,1,16,quant_only,2,control,32,0.0073360003531,0.00721599981189,1.0166297871865617,1.6357761100609929,False,False
fp16,1,64,scalar_transform,2,control,32,0.0108039997518,0.0105360001326,1.0254365618666583,2.480559286900667,False,False
fp16,1,64,vector_transform,2,vector_path,32,0.0102760002017,0.0104280002415,0.985423855362499,-1.4791751344540989,False,False
fp16,1,64,scalar_split,2,control,32,0.0171399995685,0.0172120004892,0.9958168185769469,-0.42007539388930465,False,False
fp16,1,64,vector_split,2,vector_path,32,0.0166679993272,0.0170440003276,0.9779393925620191,-2.2558256274129778,False,False
fp16,1,64,scalar_fused,2,control,32,0.013463999331,0.0131760001183,1.0218578635484377,2.1390316919943744,False,False
fp16,1,64,vector_fused,2,vector_path,32,0.0134079992771,0.01232400015,1.0879583831472122,8.084719462592753,True,False
fp16,1,64,quant_only,2,control,32,0.00816399976611,0.00811600014567,1.0059141965966583,0.5879424524147266,False,False
fp16,1,128,scalar_transform,2,control,32,0.0187399998307,0.0184080004692,1.0180356015339904,1.7716081350017725,False,False
fp16,1,128,vector_transform,2,vector_path,32,0.0169159993529,0.0149759992957,1.1295406082021533,11.468433030339495,True,False
fp16,1,128,scalar_split,2,control,32,0.028628000617,0.0283320009708,1.0104475376273307,1.0339515153713867,False,False
fp16,1,128,vector_split,2,vector_path,32,0.0264160007238,0.0250279992819,1.0554579463690408,5.254396592476832,True,False
fp16,1,128,scalar_fused,2,control,32,0.0247240006924,0.0244839996099,1.0098023642510987,0.9707210636576903,False,False
fp16,1,128,vector_fused,2,vector_path,32,0.0236120000482,0.0205119997263,1.151131062951666,13.128918836065825,True,False
fp16,1,128,quant_only,2,control,32,0.0106360003352,0.0107680000365,0.9877414839475701,-1.2410652232037496,False,False
fp16,1,256,scalar_transform,2,control,32,0.0373519986868,0.0367920011282,1.0152206333286609,1.4992438913259716,False,False
fp16,1,256,vector_transform,2,vector_path,32,0.0321359992027,0.0277319997549,1.158805693304604,13.704255529823344,True,False
fp16,1,256,scalar_split,2,control,32,0.0543919980526,0.0538879990578,1.0093527131014721,0.9266050390585093,False,False
fp16,1,256,vector_split,2,vector_path,32,0.0488880008459,0.04451200068,1.0983105701619522,8.951072022138115,True,False
fp16,1,256,scalar_fused,2,control,32,0.0482959985733,0.0480919986963,1.004241867307039,0.42239498721696633,False,False
fp16,1,256,vector_fused,2,vector_path,32,0.0448119997978,0.039291998744,1.1404866443614787,12.318131479753767,True,False
fp16,1,256,quant_only,2,control,32,0.0172600001097,0.0175879999995,0.9813509273476618,-1.9003469740169139,False,False
fp16,17,16,scalar_transform,2,control,32,0.00746800005436,0.00737200006843,1.0130222443080423,1.2854845371078043,False,False
fp16,17,16,vector_transform,2,vector_path,32,0.0077840000391,0.00742800012231,1.0479267516058264,4.573482977926106,False,False
fp16,17,16,scalar_split,2,control,32,0.0129519999027,0.012839999795,1.0087227499601374,0.8647321536549207,False,False
fp16,17,16,vector_split,2,vector_path,32,0.0137400001287,0.0131119996309,1.0478950972756316,4.5706003778576285,False,False
fp16,17,16,scalar_fused,2,control,32,0.00837199985981,0.00824799984694,1.0150339494630332,1.4811277466124466,False,False
fp16,17,16,vector_fused,2,vector_path,32,0.00849199965596,0.00803200006485,1.0572708649646396,5.416858334269428,True,False
fp16,17,16,quant_only,2,control,32,0.00759200006723,0.00751999989152,1.009574491588915,0.9483690078031073,False,False
fp16,17,64,scalar_transform,2,control,32,0.0119280003011,0.0117600001395,1.0142857278577502,1.4084520234670643,False,False
fp16,17,64,vector_transform,2,vector_path,32,0.0114759996533,0.0107280001044,1.069724043775243,6.5179467715033175,True,False
fp16,17,64,scalar_split,2,control,32,0.019619999826,0.0197799995542,0.9919110347924135,-0.8154930153871514,False,False
fp16,17,64,vector_split,2,vector_path,32,0.0193000003695,0.0188319995999,1.0248513583019876,2.424874407461609,False,False
fp16,17,64,scalar_fused,2,control,32,0.0149680003524,0.0148479998112,1.0080819331038435,0.801713912177714,False,False
fp16,17,64,vector_fused,2,vector_path,32,0.0146919995546,0.0133039996028,1.1043295244467595,9.447318226778902,True,False
fp16,17,64,quant_only,2,control,32,0.00937599986792,0.00940399989486,0.9970225407004412,-0.2986351038229316,False,False
fp16,17,128,scalar_transform,2,control,32,0.020311999321,0.0197040006518,1.0308566102866252,2.9932979988405686,False,False
fp16,17,128,vector_transform,2,vector_path,32,0.0180199995637,0.0152639999986,1.1805555270802397,15.294115603930234,True,False
fp16,17,128,scalar_split,2,control,32,0.0314759999514,0.0311760008335,1.0096227582075772,0.9531043282602816,False,False
fp16,17,128,vector_split,2,vector_path,32,0.029563999176,0.0266519993544,1.1092600890041389,9.849817016514987,True,False
fp16,17,128,scalar_fused,2,control,32,0.0260960012674,0.0257239997387,1.0144612631192165,1.425511613400763,False,False
fp16,17,128,vector_fused,2,vector_path,32,0.0246560007334,0.0217079997063,1.135802518287507,11.956525549200368,True,False
