variant,round,dtype,M,N,block_dim,operation,scalar_median_ms,vector_median_ms,scalar_over_vector_ratio,latency_reduction_pct
old,2,fp16,4096,256,32,fused,5.57017211914,2.53419208527,2.198007069596912,54.504240963001635
old,2,fp16,16384,16,32,transform,0.903499984741,0.641915988922,1.4075050323303062,28.952296650451686
old,2,fp16,16384,16,32,split,1.50942802429,1.24762401581,1.2098420719402614,17.344583793794772
old,2,fp16,16384,16,32,fused,1.29000396729,1.06428804398,1.2120816113520503,17.49730458458799
old,2,fp16,16384,64,32,transform,3.61006393433,1.30574798584,2.7647478483435006,63.83033626017106
old,2,fp16,16384,64,32,split,5.38643188477,3.08105602264,1.7482421108833461,42.79968467898744
old,2,fp16,16384,64,32,fused,5.02997589111,2.88394393921,1.7441309530059257,42.66485562471395
old,2,fp16,16384,128,32,transform,7.79447631836,2.1636800766,3.6024162733929757,72.24085380176959
old,2,fp16,16384,128,32,split,11.151587677,5.52036399841,2.020081951156107,50.49705783333726
old,2,fp16,16384,128,32,fused,10.5184120178,5.25280799866,2.0024360343045595,50.06082676956534
old,2,fp16,16384,256,32,transform,16.9216796875,3.87974014282,4.361549759670355,77.07236979739102
old,2,fp16,16384,256,32,split,23.4263595581,10.3849716187,2.255794278331647,55.66971644508356
old,2,fp16,16384,256,32,fused,22.2588439941,10.0548362732,2.2137450465929884,54.82767983878604
old,2,bf16,1,16,32,transform,0.00706399977207,0.00740000009537,0.9545945514905834,-4.756516621482577
old,2,bf16,1,16,32,split,0.0129399999976,0.0133320003748,0.9705970322397414,-3.029369221581957
old,2,bf16,1,16,32,fused,0.00766799971461,0.00803600028157,0.9542060037250144,-4.7991729350073
old,2,bf16,1,64,32,transform,0.0106839999557,0.0105039998889,1.0171363355582488,1.6847628935450123
old,2,bf16,1,64,32,split,0.0172680005431,0.016672000289,1.0357485750820934,3.4514722918407155
old,2,bf16,1,64,32,fused,0.0137160003185,0.0133719995618,1.0257254537819993,2.5080252895300346
old,2,bf16,1,128,32,transform,0.0188360005617,0.0168040007353,1.1209235739993393,10.78785180401697
old,2,bf16,1,128,32,split,0.0283520013094,0.0264600008726,1.071504171368309,6.673251796770743
old,2,bf16,1,128,32,fused,0.0244479998946,0.0233480006456,1.047113209636102,4.499342497309823
old,2,bf16,1,256,32,transform,0.0373360008001,0.0321200013161,1.1623910109052673,13.970429002096092
old,2,bf16,1,256,32,split,0.0544120013714,0.0489320009947,1.1119921577965626,10.071308238223336
old,2,bf16,1,256,32,fused,0.0486519992352,0.0449360013008,1.082695340636236,7.637914151144389
old,2,bf16,17,16,32,transform,0.00738800019026,0.0075159996748,0.982969732560106,-1.7325322312355778
old,2,bf16,17,16,32,split,0.0135680004954,0.0132400006056,1.024773404440878,2.417451929716562
old,2,bf16,17,16,32,fused,0.0084399998188,0.0085199996829,0.9906103442397347,-0.9478657087385459
old,2,bf16,17,64,32,transform,0.0118160001934,0.0113640002906,1.0397747176382846,3.825320712608575
