variant,round,dtype,M,N,method,block_dim,groups,median_ms,median_us,min_group_ms,max_group_ms
new,1,fp16,17,64,vector_split,32,5,0.0185399994254,18.5399994254,0.0183479994535,0.0187839999795
new,1,fp16,17,64,vector_transform,32,5,0.0105640001595,10.5640001595,0.0104599997401,0.0116879999638
new,1,fp16,17,128,quant_only,32,5,0.0134800001979,13.4800001979,0.0134200006723,0.0135399997234
new,1,fp16,17,128,scalar_fused,32,5,0.0274760007858,27.4760007858,0.0274040013552,0.0275440007448
new,1,fp16,17,128,scalar_split,32,5,0.03133200109,31.33200109,0.03116799891,0.0330480009317
new,1,fp16,17,128,scalar_transform,32,5,0.0214039996266,21.4039996266,0.0199359998107,0.0214120000601
new,1,fp16,17,128,vector_fused,32,5,0.0234760001302,23.4760001302,0.023423999548,0.0235239997506
new,1,fp16,17,128,vector_split,32,5,0.0287719994783,28.7719994783,0.0273719996214,0.0289079993963
new,1,fp16,17,128,vector_transform,32,5,0.0172720000148,17.2720000148,0.0157120004296,0.0174040004611
new,1,fp16,17,256,quant_only,32,5,0.0187999993563,18.7999993563,0.0187720000744,0.018843999505
new,1,fp16,17,256,scalar_fused,32,5,0.0494320005178,49.4320005178,0.049347999692,0.0494960010052
new,1,fp16,17,256,scalar_split,32,5,0.0565079987049,56.5079987049,0.0563639998436,0.0566519975662
new,1,fp16,17,256,scalar_transform,32,5,0.0380600005388,38.0600005388,0.0379440009594,0.0386440008879
new,1,fp16,17,256,vector_fused,32,5,0.0403160005808,40.3160005808,0.0402520000935,0.0403759986162
new,1,fp16,17,256,vector_split,32,5,0.0459479987621,45.9479987621,0.0457879990339,0.0460960000753
new,1,fp16,17,256,vector_transform,32,5,0.0275559991598,27.5559991598,0.0274919986725,0.027636000514
new,1,fp16,257,16,quant_only,32,5,0.0167040005326,16.7040005326,0.0166400000453,0.0168040007353
new,1,fp16,257,16,scalar_fused,32,5,0.0261799991131,26.1799991131,0.0260720014572,0.026263999939
new,1,fp16,257,16,scalar_split,32,5,0.0352479994297,35.2479994297,0.0350479990244,0.0354279994965
new,1,fp16,257,16,scalar_transform,32,5,0.0189640000463,18.9640000463,0.0188280001283,0.0193240001798
new,1,fp16,257,16,vector_fused,32,5,0.0204960003495,20.4960003495,0.0204199999571,0.0205359995365
new,1,fp16,257,16,vector_split,32,5,0.028832000494,28.832000494,0.0287239998579,0.0289600014687
new,1,fp16,257,16,vector_transform,32,5,0.0126519992948,12.6519992948,0.0125760003924,0.0135120004416
new,1,fp16,257,64,quant_only,32,5,0.0343800008297,34.3800008297,0.0342079997063,0.0350479990244
new,1,fp16,257,64,scalar_fused,32,5,0.0910120010376,91.0120010376,0.0909319996834,0.0913479983807
new,1,fp16,257,64,scalar_split,32,5,0.0990999996662,99.0999996662,0.0987839996815,0.099256002903
new,1,fp16,257,64,scalar_transform,32,5,0.0650960028172,65.0960028172,0.0650200009346,0.0674319982529
new,1,fp16,257,64,vector_fused,32,5,0.0451559990644,45.1559990644,0.0449440002441,0.0455559998751
new,1,fp16,257,64,vector_split,32,5,0.0515200018883,51.5200018883,0.0512839972973,0.0520039975643
new,1,fp16,257,64,vector_transform,32,5,0.0174439996481,17.4439996481,0.0173879995942,0.0175760000944
new,1,fp16,257,128,quant_only,32,5,0.0624360024929,62.4360024929,0.0624239981174,0.0628000020981
new,1,fp16,257,128,scalar_fused,32,5,0.187567996979,187.567996979,0.187435996532,0.187707996368
new,1,fp16,257,128,scalar_split,32,5,0.199855995178,199.855995178,0.199608004093,0.200216007233
new,1,fp16,257,128,scalar_transform,32,5,0.137855994701,137.855994701,0.137712001801,0.138311994076
new,1,fp16,257,128,vector_fused,32,5,0.0790799975395,79.0799975395,0.078979998827,0.0792519986629
new,1,fp16,257,128,vector_split,32,5,0.0863200008869,86.3200008869,0.0862999975681,0.0864799976349
new,1,fp16,257,128,vector_transform,32,5,0.0241840004921,24.1840004921,0.0240920007229,0.0257239997387
new,1,fp16,257,256,quant_only,32,5,0.118599998951,118.599998951,0.11848000288,0.118708002567
new,1,fp16,257,256,scalar_fused,32,5,0.393971991539,393.971991539,0.393916010857,0.39420800209
new,1,fp16,257,256,scalar_split,32,5,0.414111995697,414.111995697,0.414052009583,0.414319992065
new,1,fp16,257,256,scalar_transform,32,5,0.296031999588,296.031999588,0.29599199295,0.29627199173
new,1,fp16,257,256,vector_fused,32,5,0.149567997456,149.567997456,0.149352002144,0.149735999107
new,1,fp16,257,256,vector_split,32,5,0.157167994976,157.167994976,0.15696400404,0.157612001896
