variant,round,dtype,M,N,block_dim,vector_split_median_ms,vector_fused_median_ms,split_over_fused_ratio,latency_reduction_pct
old,2,bf16,17,256,32,0.0519800007343,0.0461439996958,1.1264736710509122,11.227396991260536
old,2,bf16,257,16,32,0.031099998951,0.0229919999838,1.3526443533799948,26.07073710830236
old,2,bf16,257,64,32,0.064076000452,0.0580519974232,1.1037690914385758,9.40134057417121
old,2,bf16,257,128,32,0.111644005775,0.104532003403,1.0680366025759713,6.370250084301933
old,2,bf16,257,256,32,0.210439991951,0.201623988152,1.0437249747899728,4.189319585724353
old,2,bf16,4096,16,32,0.326304006577,0.272932004929,1.1955505425678608,16.356526604709483
old,2,bf16,4096,64,32,0.782772016525,0.729284000397,1.0733431915397604,6.833153842858616
old,2,bf16,4096,128,32,1.39593200684,1.3266119957,1.0522534180036738,4.965858709474054
old,2,bf16,4096,256,32,2.61896400452,2.53565597534,1.0328546261757094,3.1809535769189954
old,2,bf16,16384,16,32,1.24788398743,1.06865596771,1.1677134879095505,14.36255465454907
old,2,bf16,16384,64,32,3.08087997437,2.88500804901,1.067893025611216,6.357661674244657
old,2,bf16,16384,128,32,5.51935997009,5.25872802734,1.0495617840274265,4.722140685919965
old,2,bf16,16384,256,32,10.3753997803,10.0608322144,1.0312665552109856,3.0318597120207094
old,3,fp16,1,16,32,0.013424000144,0.00810000002384,1.657283963517327,39.660310362404296
old,3,fp16,1,64,32,0.0168280005455,0.013560000062,1.2410029844069184,19.420016505608565
old,3,fp16,1,128,32,0.0266319990158,0.02345200032,1.1355960537442122,11.940518223635406
old,3,fp16,1,256,32,0.0488079994917,0.0449239999056,1.0864571185616052,7.957711085373395
old,3,fp16,17,16,32,0.0135800004005,0.00855199992657,1.587932707799567,37.025039216824126
old,3,fp16,17,64,32,0.019415999949,0.0146760001779,1.322976268304887,24.412854262209287
old,3,fp16,17,128,32,0.029835999012,0.0247559994459,1.2052027661901297,17.026410156592476
old,3,fp16,17,256,32,0.0519119977951,0.046167999506,1.1244151436181138,11.06487620024167
old,3,fp16,257,16,32,0.0319319993258,0.0233040004969,1.370236811059446,27.01991422732138
old,3,fp16,257,64,32,0.0642279982567,0.0578320026398,1.110596128872395,9.958267096130154
old,3,fp16,257,128,32,0.112144005299,0.104864001274,1.0694232905149024,6.491656870636947
old,3,fp16,257,256,32,0.21022799015,0.200979995728,1.0460145020329086,4.3990309831728185
old,3,fp16,4096,16,32,0.326184010506,0.271740007401,1.2003532848391305,16.691193115365323
old,3,fp16,4096,64,32,0.78234000206,0.728603982925,1.0737520249604942,6.868627322328695
old,3,fp16,4096,128,32,1.39482002258,1.32518396378,1.0525482202496381,4.992476281720857
old,3,fp16,4096,256,32,2.62036800385,2.53425998688,1.033977578234193,3.286103968735877
old,3,fp16,16384,16,32,1.24766397476,1.06413202286,1.1724710355081063,14.710046584081596
old,3,fp16,16384,64,32,3.08433208466,2.88388805389,1.0695047890293892,6.498782403065921
old,3,fp16,16384,128,32,5.52221984863,5.2544921875,1.0509521475294799,4.848189106350405
old,3,fp16,16384,256,32,10.3943321228,10.054119873,1.0338380936469267,3.2730554092431183
old,3,bf16,1,16,32,0.0134000003338,0.00811600014567,1.6510596467829153,39.43283624256114
old,3,bf16,1,64,32,0.0167960003018,0.0134200006723,1.2515647884033527,20.100021248143225
old,3,bf16,1,128,32,0.0264400005341,0.0233520001173,1.1322370846732008,11.679275168006766
old,3,bf16,1,256,32,0.049268001318,0.0452360004187,1.0891325683522017,8.183812599328881
old,3,bf16,17,16,32,0.0136920005083,0.00854799970984,1.6017783075657457,37.569388018513
