gpu,sm,cuda_runtime,seed,mode,rows,dim,dtype,scale,threads,group,order,captured_calls,replays,mean_us,check_status
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,64,4,1,64,20,2.217599936,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,128,4,2,64,20,1.765600033,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,256,4,3,64,20,1.600800082,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,32,0,0,64,20,2.931999974,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,64,0,1,64,20,1.985450089,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,128,0,2,64,20,1.504800003,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,256,0,3,64,20,1.28159998,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,32,1,1,64,20,2.931999974,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,64,1,0,64,20,1.987200044,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,128,1,3,64,20,1.504800003,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,256,1,2,64,20,1.28159998,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,32,2,2,64,20,2.93279998,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,64,2,3,64,20,1.986400038,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,128,2,0,64,20,1.505574957,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,256,2,1,64,20,1.282399986,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,32,3,3,64,20,2.931999974,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,64,3,2,64,20,1.986400038,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,0.25,128,3,1,64,20,1.504800003,PASS
