mode,dim,rows,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
hadamard,16,16384,bf16,1.0,True,1,0.00295839998871088,0.0022087499499320986,0.00160559993237257,0.0022087499499320986,27.3073019233377
hadamard,2,16384,fp16,1.0,True,1,0.0029239999130368233,0.0021167999133467675,0.0010223999619483949,0.0021167999133467675,51.70068009253039
hadamard,8,4096,fp16,1.0,True,1,0.0015216000378131867,0.0013222750276327133,0.0010263999924063683,0.0013222750276327133,22.376209868839013
hadamard_int4,16,65,fp16,1.0,False,1,0.0011447999626398087,0.0011623750440776348,0.001143999956548214,0.0011447999626398087,0.0698817363471882
hadamard_int4,4,16384,fp16,1.0,True,1,0.0032152000814676283,0.0031095750629901884,0.0013008000329136848,0.0031095750629901884,58.16791662643362
hadamard,1,4097,bf16,1.0,True,1,0.0014879999682307244,0.001268799975514412,0.0008663999848067761,0.001268799975514412,31.715006184839346
hadamard_int4,1,16384,bf16,1.0,True,1,0.0031775999814271927,0.0029656000435352324,0.000985500030219555,0.0029656000435352324,66.76895010276706
hadamard,4,16384,fp16,1.0,True,1,0.00291920006275177,0.0021104000508785246,0.001106400042772293,0.0021104000508785246,47.57391887326211
hadamard_int4,64,65,fp16,1.0,False,1,0.0010904000140726567,0.0011168000288307666,0.0010904000140726567,0.0010904000140726567,0.0
hadamard_int4,8,65,fp16,1.0,True,1,0.001134399976581335,0.0011487999930977822,0.0010648000054061413,0.001134399976581335,6.135399560298172
hadamard,2,4096,bf16,1.0,True,1,0.0015080000273883342,0.0012896000407636166,0.0008824000135064125,0.0012896000407636166,31.575683497659234
hadamard_int4,2,1,fp16,1.0,True,1,0.0010912000201642514,0.0010879999957978726,0.001020000036805868,0.0010879999957978726,6.249996255021806
hadamard_int4,2,2,bf16,1.0,True,1,0.0010895250365138055,0.001087199989706278,0.001017600018531084,0.001087199989706278,6.4017634137392925
hadamard_int4,4,4096,bf16,1.0,True,1,0.0017815999686717986,0.0016152000054717064,0.0011087999679148196,0.0016152000054717064,31.35215675095274
hadamard,256,17,bf16,1.0,False,1,0.0010463999584317206,0.0011896000243723393,0.0010456000454723835,0.0010463999584317206,0.07644428431897721
hadamard_int4,8,64,fp16,1.0,True,1,0.0011288000270724297,0.0011376000009477138,0.000993600022047758,0.0011288000270724297,11.977321206778857
hadamard_int4,4,256,fp16,1.0,True,1,0.0011615999974310398,0.0011479999870061875,0.000967200007289648,0.0011479999870061875,15.749127331267553
hadamard,1,4097,fp16,1.0,True,1,0.0014911999925971032,0.001266399957239628,0.0008712000213563442,0.001266399957239628,31.206565794956354
hadamard,4,16384,bf16,1.0,True,1,0.002924799919128418,0.0021135250106453897,0.0011056000366806984,0.0021135250106453897,47.68928538285475
hadamard,1,4096,bf16,1.0,True,1,0.0014911499805748464,0.0012759500183165073,0.0008679999969899655,0.0012759500183165073,31.972257178599563
hadamard,16,4096,bf16,1.0,True,1,0.0015367999672889709,0.0013232000172138214,0.0011296000331640244,0.0013232000172138214,14.631195702177235
hadamard,256,17,fp16,1.0,False,1,0.0010215999558568002,0.0011776000261306762,0.0010208000428974628,0.0010215999558568002,0.0783000189801708
hadamard_int4,8,4096,fp16,1.0,True,1,0.0017767250537872314,0.0016103999689221383,0.001152000017464161,0.0016103999689221383,28.46497518034544
hadamard_int4,1,4096,bf16,1.0,True,1,0.0017375249415636062,0.0015320000238716602,0.0009255999699234963,0.0015320000238716602,39.582248335458495
hadamard_int4,8,16384,bf16,1.0,True,1,0.003251200169324875,0.0031775999814271927,0.0015096000395715236,0.0031775999814271927,52.49244560690426
hadamard_int4,1,16384,fp16,1.0,True,1,0.0031383998692035677,0.002935975044965744,0.0009839000180363656,0.002935975044965744,66.4881341643745
hadamard,16,4097,bf16,1.0,True,1,0.001541600003838539,0.001324000023305416,0.0011447999626398087,0.001324000023305416,13.534747546169045
hadamard_int4,4,256,bf16,1.0,True,1,0.001158399973064661,0.0011367999948561191,0.0010599999688565731,0.0011367999948561191,6.755808088235115
hadamard_int4,8,65,bf16,1.0,True,1,0.0011239999905228615,0.0011599999852478504,0.0010623999871313572,0.0011239999905228615,5.480427394207476
hadamard,8,4097,fp16,1.0,True,1,0.0015239999629557133,0.0013183999806642532,0.0010280000045895577,0.0013183999806642532,22.02669753744858
hadamard,8,4096,bf16,1.0,True,1,0.0015279999934136868,0.001328799966722727,0.0010383250191807747,0.001328799966722727,21.85994542567323
hadamard,1,16384,fp16,1.0,True,1,0.00291920006275177,0.0020791999995708466,0.0009192000143229961,0.0020791999995708466,55.79068802843776
hadamard,2,4097,bf16,1.0,True,2,0.0016680000349879264,0.0014255999587476254,0.000993600022047758,0.0014255999587476254,30.303026739659465
hadamard_int4,4,16384,bf16,1.0,True,2,0.0032120000571012495,0.003111900016665459,0.001304799970239401,0.003111900016665459,58.07063327061668
hadamard_int4,1,2,fp16,1.0,True,2,0.001065600011497736,0.0010615999810397625,0.0010006999596953391,0.0010615999810397625,5.73662607687464
hadamard,16,4096,bf16,1.0,True,2,0.0015448000282049178,0.001328799966722727,0.001134399976581335,0.001328799966722727,14.629740744263287
hadamard,2,4097,fp16,1.0,True,2,0.0015207000076770782,0.0013039999641478062,0.0009072000160813331,0.0013039999641478062,30.42944470675587
