phase,run_index,dtype,dim,rows,normalized,shape,scale,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread256,1,1.4018559455871582,1280,1.0951999574899673,0.0010951999574899673
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread256,2,1.397760033607483,1280,1.092000026255846,0.0010920000262558461
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread256,3,1.397760033607483,1280,1.092000026255846,0.0010920000262558461
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread256,4,1.3967360258102417,1280,1.0912000201642513,0.0010912000201642514
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread256,5,1.3967360258102417,1280,1.0912000201642513,0.0010912000201642514
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,dao,1,1.363968014717102,1280,1.065600011497736,0.001065600011497736
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,dao,2,1.3648639917373657,1280,1.066299993544817,0.0010662999935448169
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,dao,3,1.3649920225143433,1280,1.0664000175893307,0.0010664000175893307
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,dao,4,1.3649920225143433,1280,1.0664000175893307,0.0010664000175893307
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,dao,5,1.363968014717102,1280,1.065600011497736,0.001065600011497736
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread32,1,1.3404159545898438,200,6.702079772949219,0.006702079772949219
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread32,2,1.3178880214691162,200,6.589440107345581,0.0065894401073455814
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread32,3,1.3496320247650146,200,6.748160123825073,0.006748160123825073
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread32,4,1.341439962387085,200,6.707199811935425,0.006707199811935425
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread32,5,1.3271039724349976,200,6.635519862174988,0.006635519862174988
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread64,1,1.3363200426101685,200,6.681600213050842,0.006681600213050842
