dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,kernel_ms
fp16,1,17,1,64,17,control_optimized_fused,4,7,100,58.8585138321,2788,0.0473678286875,2176,2909,true,1,0.0588585138321
fp16,1,17,1,64,17,optimized_fused,4,8,100,29.0511989594,2788,0.0959685004361,2176,2909,true,1,0.0290511989594
fp16,1,17,1,64,17,control_shuffle32_fused,4,9,100,89.0756607056,2788,0.0312992345823,2176,2909,true,1,0.0890756607056
fp16,1,17,1,64,17,shuffle32_fused,4,10,100,29.5746278763,2788,0.0942699942553,2176,2909,true,1,0.0295746278763
fp16,1,17,1,64,17,baseline_transform,4,11,100,9.1979432106,4352,0.473149257432,2176,2909,true,1,0.0091979432106
fp16,1,17,1,64,17,control_optimized_transform,4,12,100,9.38171386719,4352,0.463881126797,2176,2909,true,1,0.00938171386719
fp16,1,17,1,64,17,optimized_transform,4,13,100,9.47268545628,4352,0.459426212354,2176,2909,true,1,0.00947268545628
fp16,1,17,1,64,17,control_shuffle32_transform,4,14,100,7.9113137722,4352,0.550098267533,2176,2909,true,1,0.0079113137722
fp16,1,257,1,64,257,baseline_transform,0,0,100,9.46880042553,65792,6.94829303009,32896,2909,true,1,0.00946880042553
fp16,1,257,1,64,257,control_optimized_transform,0,1,100,9.61805701256,65792,6.8404668338,32896,2909,true,1,0.00961805701256
fp16,1,257,1,64,257,optimized_transform,0,2,100,9.5236569643,65792,6.90827066185,32896,2909,true,1,0.0095236569643
fp16,1,257,1,64,257,control_shuffle32_transform,0,3,100,8.88091444969,65792,7.40824611843,32896,2909,true,1,0.00888091444969
fp16,1,257,1,64,257,shuffle32_transform,0,4,100,8.76274287701,65792,7.50815137719,32896,2909,true,1,0.00876274287701
fp16,1,257,1,64,257,baseline_split,0,5,100,71.0491418839,107940,1.51923017137,32896,2909,true,1,0.0710491418839
fp16,1,257,1,64,257,control_optimized_split,0,6,100,64.3958854675,107940,1.67619404899,32896,2909,true,1,0.0643958854675
fp16,1,257,1,64,257,optimized_split,0,7,100,34.6847987175,107940,3.11202613223,32896,2909,true,1,0.0346847987175
fp16,1,257,1,64,257,control_shuffle32_split,0,8,100,102.72023201,107940,1.05081538357,32896,2909,true,1,0.10272023201
fp16,1,257,1,64,257,shuffle32_split,0,9,100,39.0500569344,107940,2.76414449744,32896,2909,true,1,0.0390500569344
fp16,1,257,1,64,257,baseline_fused,0,10,100,65.9881162643,42148,0.63872106655,32896,2909,true,1,0.0659881162643
fp16,1,257,1,64,257,control_optimized_fused,0,11,100,59.3058300018,42148,0.710688982832,32896,2909,true,1,0.0593058300018
fp16,1,257,1,64,257,optimized_fused,0,12,100,29.3462872505,42148,1.43622938194,32896,2909,true,1,0.0293462872505
fp16,1,257,1,64,257,control_shuffle32_fused,0,13,100,96.6580581665,42148,0.436052625094,32896,2909,true,1,0.0966580581665
fp16,1,257,1,64,257,shuffle32_fused,0,14,100,33.231086731,42148,1.26833047445,32896,2909,true,1,0.033231086731
fp16,1,257,1,64,257,control_optimized_transform,1,0,100,9.70560014248,65792,6.77876679795,32896,2909,true,1,0.00970560014248
fp16,1,257,1,64,257,optimized_transform,1,1,100,9.53577160835,65792,6.89949410516,32896,2909,true,1,0.00953577160835
fp16,1,257,1,64,257,control_shuffle32_transform,1,2,100,8.85257124901,65792,7.43196503585,32896,2909,true,1,0.00885257124901
