run_index,dtype,dim,rows,normalized,shape,scale,mode,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms,validation_revision
1,bf16,256,16385,True,"[16385, 256]",0.0625,fused_int4,cuda_graph,original,5,11.799551963806152,1280,9.218399971723557,0.009218399971723556,2
1,bf16,256,16385,True,"[16385, 256]",0.0625,fused_int4,cuda_graph,contiguous256,1,10.230751991271973,1280,7.992774993181229,0.00799277499318123,2
1,bf16,256,16385,True,"[16385, 256]",0.0625,fused_int4,cuda_graph,contiguous256,2,10.157055854797363,1280,7.93519988656044,0.00793519988656044,2
1,bf16,256,16385,True,"[16385, 256]",0.0625,fused_int4,cuda_graph,contiguous256,3,10.145695686340332,1280,7.926324754953384,0.007926324754953385,2
1,bf16,256,16385,True,"[16385, 256]",0.0625,fused_int4,cuda_graph,contiguous256,4,10.160127639770508,1280,7.937599718570709,0.00793759971857071,2
1,bf16,256,16385,True,"[16385, 256]",0.0625,fused_int4,cuda_graph,contiguous256,5,10.177536010742188,1280,7.951200008392334,0.007951200008392334,2
1,fp16,256,16,False,"[16, 256]",1.0,fused_int4,cuda_graph,original,1,1.844223976135254,1280,1.4407999813556671,0.001440799981355667,2
1,fp16,256,16,False,"[16, 256]",1.0,fused_int4,cuda_graph,original,2,1.8420480489730835,1280,1.4391000382602215,0.0014391000382602214,2
1,fp16,256,16,False,"[16, 256]",1.0,fused_int4,cuda_graph,original,3,1.8431999683380127,1280,1.4399999752640724,0.0014399999752640724,2
1,fp16,256,16,False,"[16, 256]",1.0,fused_int4,cuda_graph,original,4,1.8411519527435303,1280,1.438399963080883,0.001438399963080883,2
1,fp16,256,16,False,"[16, 256]",1.0,fused_int4,cuda_graph,original,5,1.8421759605407715,1280,1.4391999691724777,0.0014391999691724777,2
1,fp16,256,16,False,"[16, 256]",1.0,fused_int4,cuda_graph,contiguous256,1,1.7499840259552002,1280,1.3671750202775002,0.0013671750202775002,2
1,fp16,256,16,False,"[16, 256]",1.0,fused_int4,cuda_graph,contiguous256,2,1.7500159740447998,1280,1.3671999797224998,0.0013671999797224999,2
1,fp16,256,16,False,"[16, 256]",1.0,fused_int4,cuda_graph,contiguous256,3,1.7489919662475586,1280,1.3663999736309052,0.0013663999736309052,2
1,fp16,256,16,False,"[16, 256]",1.0,fused_int4,cuda_graph,contiguous256,4,1.7509440183639526,1280,1.367925014346838,0.001367925014346838,2
1,fp16,256,16,False,"[16, 256]",1.0,fused_int4,cuda_graph,contiguous256,5,1.7489919662475586,1280,1.3663999736309052,0.0013663999736309052,2
1,fp16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,original,1,1.9251199960708618,1280,1.5039999969303608,0.0015039999969303608,2
1,fp16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,original,2,1.9240959882736206,1280,1.503199990838766,0.001503199990838766,2
1,fp16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,original,3,1.9230719804763794,1280,1.5023999847471714,0.0015023999847471714,2
1,fp16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,original,4,1.9240319728851318,1280,1.5031499788165092,0.0015031499788165092,2
1,fp16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,original,5,1.9240959882736206,1280,1.503199990838766,0.001503199990838766,2
1,fp16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,contiguous256,1,1.8268159627914429,1280,1.4271999709308147,0.0014271999709308148,2
1,fp16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,contiguous256,2,1.8236479759216309,1280,1.424724981188774,0.0014247249811887742,2
1,fp16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,contiguous256,3,1.8247679471969604,1280,1.4255999587476254,0.0014255999587476254,2
1,fp16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,contiguous256,4,1.8247359991073608,1280,1.4255749993026257,0.0014255749993026257,2
1,fp16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,contiguous256,5,1.8237440586090088,1280,1.4248000457882881,0.001424800045788288,2
1,fp16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,original,1,2.026495933532715,1280,1.5831999480724335,0.0015831999480724335,2
1,fp16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,original,2,2.0243520736694336,1280,1.581525057554245,0.001581525057554245,2
1,fp16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,original,3,2.023423910140991,1280,1.5807999297976494,0.0015807999297976494,2
1,fp16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,original,4,2.023423910140991,1280,1.5807999297976494,0.0015807999297976494,2
1,fp16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,original,5,2.02239990234375,1280,1.5799999237060547,0.0015799999237060547,2
1,fp16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,contiguous256,1,1.9148800373077393,1280,1.4960000291466713,0.0014960000291466713,2
1,fp16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,contiguous256,2,1.9148800373077393,1280,1.4960000291466713,0.0014960000291466713,2
1,fp16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,contiguous256,3,1.9148800373077393,1280,1.4960000291466713,0.0014960000291466713,2
1,fp16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,contiguous256,4,1.9148800373077393,1280,1.4960000291466713,0.0014960000291466713,2
1,fp16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,contiguous256,5,1.913856029510498,1280,1.4952000230550766,0.0014952000230550766,2
1,bf16,256,65,True,"[65, 256]",0.0625,fused_int4,cuda_graph,original,1,2.016160011291504,1280,1.5751250088214874,0.0015751250088214875,2
1,bf16,256,65,True,"[65, 256]",0.0625,fused_int4,cuda_graph,original,2,2.0152320861816406,1280,1.5744000673294067,0.0015744000673294067,2
1,bf16,256,65,True,"[65, 256]",0.0625,fused_int4,cuda_graph,original,3,2.0142080783843994,1280,1.573600061237812,0.001573600061237812,2
1,bf16,256,65,True,"[65, 256]",0.0625,fused_int4,cuda_graph,original,4,2.0152320861816406,1280,1.5744000673294067,0.0015744000673294067,2
1,bf16,256,65,True,"[65, 256]",0.0625,fused_int4,cuda_graph,original,5,2.0142080783843994,1280,1.573600061237812,0.001573600061237812,2
1,bf16,256,65,True,"[65, 256]",0.0625,fused_int4,cuda_graph,contiguous256,1,1.8974720239639282,1280,1.482400018721819,0.0014824000187218188,2
1,bf16,256,65,True,"[65, 256]",0.0625,fused_int4,cuda_graph,contiguous256,2,1.8933759927749634,1280,1.4791999943554401,0.00147919999435544,2
