mode,dim,rows,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
hadamard,16,16384,bf16,1.0,True,2,0.0047368001192808155,0.003511999920010567,0.0025175999850034713,0.003511999920010567,28.314349591559886
hadamard,8,4096,fp16,1.0,True,2,0.0023736000061035157,0.0020320000126957893,0.0017551999539136887,0.0020320000126957893,13.622050051804813
hadamard_int4,2,1,fp16,1.0,True,2,0.001865600049495697,0.0018567999824881554,0.0017376000061631203,0.0018567999824881554,6.4196454895106285
hadamard_int4,64,65,fp16,1.0,False,2,0.0019392000511288642,0.0019352000206708908,0.0019376000389456749,0.0019392000511288642,0.08250887690818276
hadamard_int4,16,65,bf16,1.0,False,2,0.0020320000126957893,0.002006400004029274,0.0020320000126957893,0.0020320000126957893,0.0
hadamard,8,4097,bf16,1.0,True,2,0.0023663999512791634,0.0020320000126957893,0.0017551999539136887,0.0020320000126957893,13.622050051804813
hadamard_int4,8,257,bf16,1.0,True,2,0.0020824000239372253,0.0020824000239372253,0.0019015999510884284,0.0020824000239372253,8.682293064276648
hadamard_int4,8,256,fp16,1.0,True,2,0.0020767999812960625,0.0020584000274538996,0.0017184000462293625,0.0020584000274538996,16.51768250533371
hadamard_int4,2,4096,bf16,1.0,True,2,0.0031120000407099725,0.0029031999409198763,0.0018783999606966973,0.0029031999409198763,35.298980472508276
hadamard,32,17,bf16,1.0,False,2,0.0015696000307798385,0.001571200042963028,0.0015688000246882438,0.0015696000307798385,0.050968786691296675
hadamard_int4,4,17,fp16,1.0,True,2,0.0019527999684214592,0.0019783999770879744,0.0017240000888705254,0.0019527999684214592,11.716503648649878
hadamard_int4,8,257,fp16,1.0,True,2,0.002086400054395199,0.002086400054395199,0.001889600045979023,0.002086400054395199,9.432515494887861
hadamard,1,4097,fp16,1.0,True,2,0.0023231999948620796,0.0019703999161720274,0.001512799970805645,0.0019703999161720274,23.223709136944127
hadamard,4,4097,fp16,1.0,True,2,0.0023336000740528107,0.001992000080645084,0.0016071999445557595,0.001992000080645084,19.317275126048806
hadamard,1,4096,bf16,1.0,True,2,0.0023240000009536743,0.0019751999527215956,0.0015039999969303608,0.0019751999527215956,23.855810402484888
hadamard,4,4097,bf16,1.0,True,2,0.002343199960887432,0.002006400004029274,0.0016143999993801117,0.002006400004029274,19.537480256277096
hadamard,4,4096,bf16,1.0,True,2,0.0023383999243378637,0.00200399998575449,0.0016208000481128693,0.00200399998575449,19.121753511258078
hadamard_int4,8,4096,bf16,1.0,True,2,0.0031199999153614043,0.002889600023627281,0.0019864000380039213,0.002889600023627281,31.25692062009272
hadamard,1,4097,bf16,1.0,True,2,0.0023367999121546744,0.001981600001454353,0.0015200000256299973,0.001981600001454353,23.294306393095198
hadamard,8,4096,bf16,1.0,True,2,0.002370399981737137,0.0020312000066041946,0.0017567999660968781,0.0020312000066041946,13.50925756277761
hadamard_int4,8,4096,fp16,1.0,True,2,0.0031199999153614043,0.002890400029718876,0.0019695999100804327,0.002890400029718876,31.857186208512502
hadamard_int4,2,1,bf16,1.0,True,2,0.00180479995906353,0.0017983999103307724,0.0016759999096393585,0.0017983999103307724,6.806050199863578
hadamard_int4,1,16384,bf16,1.0,True,2,0.005894400179386139,0.005470399931073189,0.0017079999670386314,0.005470399931073189,68.77742050747003
hadamard,8,16384,bf16,1.0,True,2,0.004687999933958053,0.003410400077700615,0.002024799957871437,0.003410400077700615,40.62866784718664
hadamard_int4,8,256,bf16,1.0,True,2,0.002080800011754036,0.002078399993479252,0.001738400012254715,0.002078399993479252,16.358736638339533
hadamard_int4,2,16384,bf16,1.0,True,2,0.0064152002334594725,0.00597039982676506,0.0020424000918865203,0.00597039982676506,65.79123423643213
hadamard,4,16384,fp16,1.0,True,2,0.004658399894833565,0.0032816000282764437,0.0017872000113129615,0.0032816000282764437,45.53876170425218
hadamard_int4,16,4096,bf16,1.0,False,2,0.0031576000154018404,0.002895200066268444,0.0031624000519514086,0.0031576000154018404,-0.15201534476041445
hadamard,2,4096,fp16,1.0,True,2,0.002329600043594837,0.001992800086736679,0.0015495999716222287,0.001992800086736679,22.240069039750765
hadamard_int4,1,2,bf16,1.0,True,2,0.0017440000548958779,0.0017351999878883362,0.0016224000602960587,0.0017351999878883362,6.500687435432162
hadamard_int4,1,4096,bf16,1.0,True,2,0.0029263999313116074,0.0027631999924778937,0.0016279999166727067,0.0027631999924778937,41.082805402992165
hadamard_int4,4,4096,fp16,1.0,True,2,0.003077599965035915,0.0028567999601364137,0.0018743999302387238,0.0028567999601364137,34.38812810158327
hadamard_int4,2,4096,fp16,1.0,True,3,0.003619199991226196,0.003712800145149231,0.002350400015711784,0.003619199991226196,35.05747067280851
hadamard,1,4097,fp16,1.0,True,3,0.002322399988770485,0.0019727999344468115,0.0014936000108718873,0.0019727999344468115,24.290345676095924
