run,dtype,rows,scale,method,group,event_ms,per_call_us,per_call_ms
1,fp16,16,0.0625,original,0,4.021247863769531,3.1415998935699463,0.0031415998935699465
1,fp16,16,0.0625,original,1,4.020224094390869,3.1408000737428665,0.0031408000737428664
1,fp16,16,0.0625,original,2,4.020224094390869,3.1408000737428665,0.0031408000737428664
1,fp16,16,0.0625,original,3,4.022272109985352,3.142400085926056,0.003142400085926056
1,fp16,16,0.0625,original,4,4.023295879364014,3.1431999057531357,0.003143199905753136
1,fp16,16,0.0625,contiguous256,0,3.7939200401306152,2.964000031352043,0.002964000031352043
1,fp16,16,0.0625,contiguous256,1,3.7908480167388916,2.961600013077259,0.002961600013077259
1,fp16,16,0.0625,contiguous256,2,3.791872024536133,2.9624000191688538,0.0029624000191688536
1,fp16,16,0.0625,contiguous256,3,3.792896032333374,2.9632000252604485,0.0029632000252604483
1,fp16,16,0.0625,contiguous256,4,3.7908480167388916,2.961600013077259,0.002961600013077259
1,fp16,65,1.0,original,0,4.104191780090332,3.206399828195572,0.003206399828195572
1,fp16,65,1.0,original,1,4.10316801071167,3.205600008368492,0.003205600008368492
1,fp16,65,1.0,original,2,4.10214376449585,3.2047998160123825,0.0032047998160123826
1,fp16,65,1.0,original,3,4.105216026306152,3.2072000205516815,0.0032072000205516813
1,fp16,65,1.0,original,4,4.10316801071167,3.205600008368492,0.003205600008368492
1,fp16,65,1.0,contiguous256,0,3.8932480812072754,3.041600063443184,0.003041600063443184
1,fp16,65,1.0,contiguous256,1,3.8932480812072754,3.041600063443184,0.003041600063443184
1,fp16,65,1.0,contiguous256,2,3.891200065612793,3.0400000512599945,0.0030400000512599947
1,fp16,65,1.0,contiguous256,3,3.891200065612793,3.0400000512599945,0.0030400000512599947
1,fp16,65,1.0,contiguous256,4,3.8932480812072754,3.041600063443184,0.003041600063443184
1,bf16,2,0.0625,original,0,3.8686718940734863,3.022399917244911,0.0030223999172449114
1,bf16,2,0.0625,original,1,3.8686718940734863,3.022399917244911,0.0030223999172449114
1,bf16,2,0.0625,original,2,3.867647886276245,3.0215999111533165,0.0030215999111533167
1,bf16,2,0.0625,original,3,3.8686718940734863,3.022399917244911,0.0030223999172449114
1,bf16,2,0.0625,original,4,3.867647886276245,3.0215999111533165,0.0030215999111533167
1,bf16,2,0.0625,contiguous256,0,3.664896011352539,2.863200008869171,0.0028632000088691712
1,bf16,2,0.0625,contiguous256,1,3.6618239879608154,2.860799990594387,0.002860799990594387
1,bf16,2,0.0625,contiguous256,2,3.6618239879608154,2.860799990594387,0.002860799990594387
1,bf16,2,0.0625,contiguous256,3,3.6628479957580566,2.8615999966859818,0.002861599996685982
1,bf16,2,0.0625,contiguous256,4,3.660799980163574,2.8599999845027924,0.0028599999845027924
1,fp16,4097,1.0,original,0,9.401344299316406,7.344800233840942,0.0073448002338409426
1,fp16,4097,1.0,original,1,9.39417552947998,7.339199632406235,0.007339199632406234
1,fp16,4097,1.0,original,2,9.401344299316406,7.344800233840942,0.0073448002338409426
1,fp16,4097,1.0,original,3,9.400320053100586,7.344000041484833,0.007344000041484833
1,fp16,4097,1.0,original,4,9.40441608428955,7.3472000658512115,0.0073472000658512115
1,fp16,4097,1.0,contiguous256,0,8.651776313781738,6.759200245141983,0.006759200245141983
1,fp16,4097,1.0,contiguous256,1,8.646656036376953,6.755200028419495,0.0067552000284194945
1,fp16,4097,1.0,contiguous256,2,8.653823852539062,6.760799884796143,0.006760799884796142
1,fp16,4097,1.0,contiguous256,3,8.649727821350098,6.757599860429764,0.0067575998604297634
1,fp16,4097,1.0,contiguous256,4,8.651776313781738,6.759200245141983,0.006759200245141983
1,bf16,16385,1.0,original,0,20.099071502685547,15.702399611473083,0.015702399611473083
1,bf16,16385,1.0,original,1,20.81996726989746,16.26559942960739,0.01626559942960739
1,bf16,16385,1.0,original,2,20.935680389404297,16.356000304222107,0.01635600030422211
1,bf16,16385,1.0,original,3,20.936704635620117,16.356800496578217,0.016356800496578217
1,bf16,16385,1.0,original,4,20.67558479309082,16.152800619602203,0.016152800619602205
1,bf16,16385,1.0,contiguous256,0,17.949695587158203,14.023199677467346,0.014023199677467346
1,bf16,16385,1.0,contiguous256,1,19.559423446655273,15.280799567699432,0.015280799567699432
1,bf16,16385,1.0,contiguous256,2,19.3832950592041,15.143199265003204,0.015143199265003205
1,bf16,16385,1.0,contiguous256,3,19.299327850341797,15.077599883079529,0.015077599883079528
1,bf16,16385,1.0,contiguous256,4,19.299327850341797,15.077599883079529,0.015077599883079528
1,bf16,3,1.0,original,0,3.0300159454345703,2.367199957370758,0.002367199957370758
1,bf16,3,1.0,original,1,3.0259199142456055,2.3639999330043793,0.0023639999330043794
